id,name,countries,status,regions,websites
aec91ae74e77117f63ce26f90bdd935692fe1f5e,Espace Nordique du Haut vercors,France,operating,Drôme;Isère,https://www.lesstationsdeladrome.fr/stations/herbouilly/
d9ac8983541d7960d801802ce64751267338b5e4,Mürren/Schilthorn,Switzerland,operating,Bern,https://schilthorn.ch/
aa7c1057c865309947c4432c984e1809570ea61b,Karakoli,Greece,operating,Epirus,
73278e0d711effeb45409da2202be6389040f9c6,Luz-Ardiden,France,operating,Hautes-Pyrénées,
c8f66e784133d6becb1aba654e27b446daa7af7b,Guzet-Neige,France,operating,Ariège,https://www.guzet.ski/
e803e6b7f511dd24e94cbe8882324020e9cc013f,Piau-Engaly,France,operating,Hautes-Pyrénées,https://www.n-py.com/fr/piau
52c9c35a9f63939f43b957b39196aa77ec0013c7,Boí Taüll,Spain,operating,Lleida,https://www.boitaullresort.es/
f8a135103929215d692c27c3b10670b5b8ff1e7b,Metabief - Mont d'or,France,operating,Doubs,
b85ed4089d26f2edac6ea2ee44d0c49ff5172866,La Colmiane,France,operating,Alpes-Maritimes,
3fe9a6b2c3b2fddc054259af7b561d7d91f7b9f0,Skiarea Valchiavenna Madesimo/Campodolcino,Italy,operating,Sondrio,https://www.skiareavalchiavenna.it/
f5a0ce2afce613e3986efbc9e3cbd1ebbdc3ff80,Valle del Sol,Spain,operating,Burgos,
7bf9fd707a69cba7cf6dd9355bd4fa9d731d8376,Hahnenkamm,Austria,operating,Tyrol,https://bergwelt-hahnenkamm.at/
834f9604484c697de27d33b23224b5a4bef46f1e,"Skiareál Ještěd, Jeschken",Czechia,operating,Liberec,https://www.skijested.cz/
c8df10ba59b2c80f2302566b5b0b9958292c8075,Riserva Bianca,Italy,operating,Cuneo,https://www.riservabianca.it/
81e46b4e77e5ad2de0a64e7fe71e5a2390f8bc5e,Palandöken Kayak Merkezi,Turkey,operating,Erzurum,
8394e228c6499b01b1159b31d00a9347ead9499e,Rossfeld,Austria;Germany,operating,Bavaria;Salzburg,https://www.rossfeld.info/
d4465cbfbdb1e419164cde3c2c8fb7a6645fdb2e,"Kupres, Čajuša, AdriaSki",Bosnia and Herzegovina,operating,West Bosnia,https://www.adriaski.net/
b28af962323890eb2dc4f2705ed7b6893d894add,Obertauern,Austria,operating,Salzburg,https://www.obertauern.com/
69b1e3b095418695c76caa6b2d9c093b55fe969a,Skiareál Kamenec,Czechia,operating,Liberec,https://www.skikamenec.cz/uvod-kamenec/
5bb668c45a3f511cb72402d4b956c3b4e38edc36,Saklıkent,Turkey,operating,Antalya,https://www.saklikent.com.tr/Default.aspx
6188b040922df2ed99ef3762659adf5cb67149b0,Campo Felice,Italy,operating,L'Aquila,
e70324e7722d70438a015278587839023291ff32,Rasos de Peguera,Spain,operating,Barcelona,https://www.rasos.net/
84a384312a2275ba3f6f196c844b8eed89f90e79,Gambarie,Italy,operating,Reggio Di Calabria,https://www.gambarie.it/
7f9cb5d62a394e9ef3f71449dc88ca24ef4b5e2a,Scanno,Italy,operating,L'Aquila,
c87e4d6dfbb202f394b45258973f8db1a9621e0f,Monte Catria,Italy,operating,Pesaro E Urbino,https://www.montecatria.com/
88e660774595fbc8884d78811a13a2d6ba737bcb,P.O.M.A. Malenovice,Czechia,operating,Moravian-Silesian,
ceb0da0a26e832b3e9d55c202c6f85641418673a,Monte Fumaiolo,Italy,operating,Forli'-Cesena,https://www.fumaioloneve.com/
8ff1caab0ddcecd2427374f53dd219f7f3b9bbba,Selvarotonda,Italy,operating,Rieti,
d4475742159d10369d9fead55b18bb36ae781ad8,Prali,Italy,operating,Turin,
2c0994f023f0441b4983abd0a1548674883991b3,Monte Piselli,Italy,operating,Teramo,http://www.montepiselli.it/
8a7a759ed15eab1d429d525e8efac9ecab16aefd,Val Formazza,Italy,operating,Verbano-Cusio-Ossola,
a2e86393f511a6d3f79885631d2bce3dda17f484,Borsec,Romania,operating,Harghita,
a9f31ea827783eee50846a9f61b1b1594105e177,Stupava,Czechia,operating,Zlín,https://www.stupava.cz/
d0c1c3e294dc23323ff7883fab7729cbdfe037bc,Skiareál Mariánky,Czechia,operating,Karlovy Vary,
304d72fa57c50cd759b4ebeff3e48dbee4789b17,Candanchu,France;Spain,operating,Huesca;Pyrénées-Atlantiques,https://www.candanchu.com/
77fbc7457888ab7de469f67ed7dc179ee7457109,Ski Park Grůň,Czechia,operating,Moravian-Silesian,https://www.skipark-grun.cz/
81a1ae2a8649c963580016f67a9bbbb79f46e892,Golf & Ski Resort Ostravice,Czechia,operating,Moravian-Silesian,https://www.ostravice-golf.cz/
d611596d538522840af2dcaa1039c843689058d1,Lyžařský vlek Visalaje,Czechia,operating,Moravian-Silesian,https://www.visalajevlek.cz/
698235de3f3ccef651f8bd22e09d50fdadd21922,"La Pierre Saint-Martin, San Martingo Harria",France,operating,Pyrénées-Atlantiques,https://www.lapierrestmartin.com/
